p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,objective,predicted,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,16,4, , , , ,0.0053665,0.0001515000386363096,7.0812859535217285
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,8,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.005266,0.00015150284723575673,14.0257089138031
 , , ,4,20,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,0.0051855,0.00015150449778650066,20.185564517974854
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,16,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.0054870000000000006,0.0001515051212126606,26.54462718963623
 , , ,16,128,4, , , , ,0.0047175,0.00015150578864361682,32.63494300842285
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,16,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.005365,0.00015152554223979837,38.66255736351013
 , , ,96,16,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,0.0051655,0.00015153097614082063,45.16399836540222
 , , ,100,80,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.0056855,0.0001515365450764152,51.53894066810608
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,80,4, , , , ,0.005304,0.00015154019538679678,58.10065293312073
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,2048,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.0053089999999999995,0.00015154315032930342,63.87608218193054
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,80,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.0060655,0.00015156942005560217,70.29125547409058
 , , ,20,32,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.005504,0.00015164148949900304,76.19429278373718
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,128,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.005355,0.00015177331099144818,82.50219202041626
 , , ,32,32,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.0060875,0.00015178575772897574,88.33880400657654
 , , ,80,80,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.0057680000000000006,0.00015190235544092453,94.63822293281555
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,100,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.004967,0.00015209382121776483,101.01258969306946
 , , ,80,16,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.0058665,0.0001523288654544919,107.44527959823608
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,32,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.0058755000000000005,0.0001526128620699205,113.84172058105469
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,16,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,0.0053645,0.00015264897920575892,120.70264601707458
 , , ,50,16,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.0049535,0.00015288140410510032,127.24147129058838
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,128,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.005581,0.00015307292956144442,133.71700382232666
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,128,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,0.004752,0.0001533169461062771,139.98043155670166
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,8,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.0064104999999999995,0.00015506639358929048,146.90693378448486
 , , ,4,80,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.005738999999999999,0.00015525331601968766,153.4411976337433
 , , ,16,128,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.0053925,0.00015603873048381075,159.54532670974731
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,80,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.005112,0.00015618068793131964,165.92067646980286
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,20,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.005784,0.000156417546755983,172.26519465446472
 , , ,4,20,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.005821,0.0001577279356919938,178.50627970695496
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,80,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.004923,0.00015775520081627044,185.12403297424316
 , , ,16,16,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.006113,0.00015811820598933839,191.05093550682068
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,16,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.00561,0.00015954650034466841,197.11888980865479
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,80,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.005715,0.00016119200565429533,203.47378849983215
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,16,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.005229,0.0001613567429171944,210.01021194458008
 , , ,16,20,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.0050935,0.0001651362808965201,215.9250452518463
 , , ,8,128,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.0049464999999999995,0.00016730684857490402,222.78043007850647
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,8,4, , , , ,0.0056735,0.00016777736229181848,229.6668517589569
 , , ,64,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.0056305,0.0001711600545873021,236.04566931724548
 , , ,100,128,4, , , , ,0.004705,0.0001729886470928674,242.2272653579712
 , , ,50,128,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.005417,0.00017349152687371017,248.5654420852661
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,64,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,0.004289,0.00017523037459236558,255.14151620864868
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.004680500000000001,0.00017576518247870062,261.47091150283813
 , , ,4,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.0060885,0.0001766408636441319,267.72335267066956
 , , ,4,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.0060615,0.0001770403294757666,274.0144522190094
 , , ,80,16,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.00588,0.00017938871689669673,280.421546459198
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,128,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,0.004775,0.00017948850972094357,286.80301547050476
 , , ,64,64,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.0057765,0.00018108840804017122,293.21798849105835
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,16,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.0055595,0.00018166739021510214,299.54833984375
 , , ,96,100,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.005437,0.00018337119553311714,305.8333411216736
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,16,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.004339,0.00018454148582073489,312.26373958587646
 , , ,96,32,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.005835,0.00018701587587827985,318.58960700035095
 , , ,96,128,4, , , , ,0.0047374999999999995,0.00019181744529431303,324.76366686820984
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,20,4, , , , ,0.0052815,0.00019327089310215654,330.93666410446167
 , , ,64,50,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.0058455,0.00019611565476943698,337.5911202430725
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,4,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.006649500000000001,0.0001971473239077839,344.2003264427185
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,80,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,0.005193,0.00019889221420625106,350.6399881839752
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,80,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.005606,0.00019954591001726364,357.00515604019165
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,20,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.0069505,0.00019993748295827135,363.0066223144531
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,128,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.0053430000000000005,0.00020032736839911632,369.3423433303833
 , , ,16,50,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.0058,0.00020480818529771156,375.65455198287964
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,100,4, , , , ,0.005115,0.00020716244981016586,382.0209367275238
 , , ,80,2048,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.005232,0.00020780550740492597,388.1296954154968
 , , ,80,32,4, , , , ,0.0051375,0.00020992431605514682,394.4936935901642
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,128,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,0.0048125,0.00021090947011807284,400.88086318969727
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,16,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.0046394999999999995,0.0002157165618844881,407.2234525680542
 , , ,80,16,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.003772,0.00021716733455389245,413.6800539493561
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.005888,0.0002243702769087759,420.23839235305786
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,128,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,0.0035310000000000003,0.00022599342578504808,426.5028409957886
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,32,4, , , , ,0.0053355,0.0002307629486013595,433.0041401386261
 , , ,50,128,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.0054135,0.000244502953690425,439.42142605781555
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,32,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.006007,0.0002517006989654275,445.6913537979126
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,80,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.0057675,0.0002517084411542831,452.10536074638367
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,80,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.006821,0.0002566843275964943,458.6590175628662
 , , ,4,2048,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.0052965,0.00026530306749905007,464.786376953125
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,128,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.005427,0.0002668910945000269,471.1851806640625
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,50,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,0.00528,0.00027752930117524327,478.03290486335754
 , , ,80,4,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,0.0058665,0.00028825756165097523,484.89764523506165
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,32,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.005875,0.000288936536194698,491.305166721344
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,64,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.0051045000000000005,0.0002940370872731325,497.7260329723358
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,16,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.0054915,0.00029549601021318665,503.6956367492676
 , , ,32,16,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.0056974999999999994,0.0002965611399935324,509.6179392337799
 , , ,50,128,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.006551,0.00030163273329841247,516.0828335285187
 , , ,80,32,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.0058119999999999995,0.00031042420824959737,522.4102799892426
 , , ,100,2048,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,0.004678,0.0003105018408201051,528.527281999588
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,16,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,0.0052875,0.00031597859776233677,535.1138305664062
 , , ,100,8,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.005698,0.0003272734309226486,542.0972557067871
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.0054205,0.00032736775550470747,548.6907796859741
 , , ,128,16,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.005863,0.00032822216148384147,554.5034184455872
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,2048,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,0.0047185,0.00032828493199388525,560.7450420856476
 , , ,16,8,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,0.0055875000000000005,0.00034007922785737915,567.520670413971
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,80,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.005869,0.00035978141051118336,574.1134221553802
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,2048,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.0046370000000000005,0.00037702065114124036,579.9189965724945
 , , ,16,80,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.005064,0.0003865369432198417,586.2768325805664
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,2048,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.0052995,0.00039597999740366034,592.4329817295074
 , , ,80,100,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.0055175,0.0004072227629970143,598.6783850193024
 , , ,4,8,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.005995,0.00041396093096266357,605.6706371307373
 , , ,4,32,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.005464999999999999,0.0004248187171186505,611.9384672641754
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,2048,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.005301,0.00042889968049045516,618.0650663375854
 , , ,100,16,4, , , , ,0.0049155,0.0004341361670161049,624.4053645133972
 , , ,16,50,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.0042734999999999995,0.0004673267377628813,630.7918133735657
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,16,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.005835,0.0004780581708355999,637.2259883880615
